sequential; seen; Considering user has interacted with items {history} . What is the next recommendation for the user ?; {target}
sequential; seen; Here is the purchase history of user : item {history} . I wonder what is the next recommended item for the user .; {target}
sequential; seen; user has purchased items {history}, predict next possible item to be bought by the user ?; {target}
sequential; seen; I find the purchase list of user : items {history} , I wonder what other itmes does the user need . Can you help me decide ?; {target}
sequential; seen; According to what items user has purchased : items {history} , Can you recommend another item to the user ?; {target}
sequential; seen; What would user be likely to purchase next after buying items {history} ?; {target}
sequential; seen; By analyzing the user 's purchase of items {history} , what is the next item expected to be bought ?; {target}
sequential; seen; Can you recommend the next item for user , given the user 's purchase of items {history} ?; {target}
sequential; seen; After buying items {history} , what is the next item that could be recommended for user ?; {target}
sequential; seen; The user has bought items : items {history} , What else do you think is necessary for the user ?; {target}
sequential; unseen; What is the top recommended item for user who interacted with item {history} ?; {target}
